From,To
Dorsal auditory area,"Dorsal auditory area, layer 6b"
Primary auditory area,"Primary auditory area, layer 1"
Primary auditory area,"Primary auditory area, layer 2/3"
Primary auditory area,"Primary auditory area, layer 4"
Primary auditory area,"Primary auditory area, layer 5"
Primary auditory area,"Primary auditory area, layer 6a"
Primary auditory area,"Primary auditory area, layer 6b"
Posterior auditory area,"Posterior auditory area, layer 1"
Posterior auditory area,"Posterior auditory area, layer 2/3"
Posterior auditory area,"Posterior auditory area, layer 4"
Posterior auditory area,"Posterior auditory area, layer 5"
Posterior auditory area,"Posterior auditory area, layer 6a"
Posterior auditory area,"Posterior auditory area, layer 6b"
Ventral auditory area,"Ventral auditory area, layer 1"
Ventral auditory area,"Ventral auditory area, layer 2/3"
Ventral auditory area,"Ventral auditory area, layer 4"
Ventral auditory area,"Ventral auditory area, layer 5"
Ventral auditory area,"Ventral auditory area, layer 6a"
Ventral auditory area,"Ventral auditory area, layer 6b"
Anterolateral visual area,"Anterolateral visual area, layer 1"
Anterolateral visual area,"Anterolateral visual area, layer 2/3"
Anterolateral visual area,"Anterolateral visual area, layer 4"
Anterolateral visual area,"Anterolateral visual area, layer 5"
Anterolateral visual area,"Anterolateral visual area, layer 6a"
Anterolateral visual area,"Anterolateral visual area, layer 6b"
Anteromedial visual area,"Anteromedial visual area, layer 1"
Anteromedial visual area,"Anteromedial visual area, layer 2/3"
Anteromedial visual area,"Anteromedial visual area, layer 4"
Anteromedial visual area,"Anteromedial visual area, layer 5"
Anteromedial visual area,"Anteromedial visual area, layer 6a"
Anteromedial visual area,"Anteromedial visual area, layer 6b"
Lateral visual area,"Lateral visual area, layer 1"
Lateral visual area,"Lateral visual area, layer 2/3"
Lateral visual area,"Lateral visual area, layer 4"
Lateral visual area,"Lateral visual area, layer 5"
Lateral visual area,"Lateral visual area, layer 6a"
Lateral visual area,"Lateral visual area, layer 6b"
Primary visual area,"Primary visual area, layer 1"
Primary visual area,"Primary visual area, layer 2/3"
Primary visual area,"Primary visual area, layer 4"
Primary visual area,"Primary visual area, layer 5"
Primary visual area,"Primary visual area, layer 6a"
Primary visual area,"Primary visual area, layer 6b"
Posterolateral visual area,"Posterolateral visual area, layer 1"
Posterolateral visual area,"Posterolateral visual area, layer 2/3"
Posterolateral visual area,"Posterolateral visual area, layer 4"
Posterolateral visual area,"Posterolateral visual area, layer 5"
Posterolateral visual area,"Posterolateral visual area, layer 6a"
Posterolateral visual area,"Posterolateral visual area, layer 6b"
posteromedial visual area,"posteromedial visual area, layer 1"
posteromedial visual area,"posteromedial visual area, layer 2/3"
posteromedial visual area,"posteromedial visual area, layer 4"
posteromedial visual area,"posteromedial visual area, layer 5"
posteromedial visual area,"posteromedial visual area, layer 6a"
posteromedial visual area,"posteromedial visual area, layer 6b"
Laterointermediate area,"Laterointermediate area, layer 1"
Laterointermediate area,"Laterointermediate area, layer 2/3"
Laterointermediate area,"Laterointermediate area, layer 4"
Laterointermediate area,"Laterointermediate area, layer 5"
Laterointermediate area,"Laterointermediate area, layer 6a"
Laterointermediate area,"Laterointermediate area, layer 6b"
Postrhinal area,"Postrhinal area, layer 1"
Postrhinal area,"Postrhinal area, layer 2/3"
Postrhinal area,"Postrhinal area, layer 4"
Postrhinal area,"Postrhinal area, layer 5"
Postrhinal area,"Postrhinal area, layer 6a"
Postrhinal area,"Postrhinal area, layer 6b"
"Anterior cingulate area, dorsal part","Anterior cingulate area, dorsal part, layer 1"
"Anterior cingulate area, dorsal part","Anterior cingulate area, dorsal part, layer 2/3"
"Anterior cingulate area, dorsal part","Anterior cingulate area, dorsal part, layer 5"
"Anterior cingulate area, dorsal part","Anterior cingulate area, dorsal part, layer 6a"
"Anterior cingulate area, dorsal part","Anterior cingulate area, dorsal part, layer 6b"
"Anterior cingulate area, ventral part","Anterior cingulate area, ventral part, layer 1"
"Anterior cingulate area, ventral part","Anterior cingulate area, ventral part, layer 2/3"
"Anterior cingulate area, ventral part","Anterior cingulate area, ventral part, layer 5"
"Anterior cingulate area, ventral part","Anterior cingulate area, ventral part, 6a"
"Anterior cingulate area, ventral part","Anterior cingulate area, ventral part, 6b"
"Orbital area, lateral part","Orbital area, lateral part, layer 1"
"Orbital area, lateral part","Orbital area, lateral part, layer 2/3"
"Orbital area, lateral part","Orbital area, lateral part, layer 5"
"Orbital area, lateral part","Orbital area, lateral part, layer 6a"
"Orbital area, lateral part","Orbital area, lateral part, layer 6b"
"Orbital area, medial part","Orbital area, medial part, layer 1"
"Orbital area, medial part","Orbital area, medial part, layer 2/3"
"Orbital area, medial part","Orbital area, medial part, layer 5"
"Orbital area, medial part","Orbital area, medial part, layer 6a"
"Orbital area, medial part","Orbital area, medial part, layer 6b"
"Orbital area, ventrolateral part","Orbital area, ventrolateral part, layer 1"
"Orbital area, ventrolateral part","Orbital area, ventrolateral part, layer 2/3"
"Orbital area, ventrolateral part","Orbital area, ventrolateral part, layer 5"
"Orbital area, ventrolateral part","Orbital area, ventrolateral part, layer 6a"
"Orbital area, ventrolateral part","Orbital area, ventrolateral part, layer 6b"
"Agranular insular area, dorsal part","Agranular insular area, dorsal part, layer 1"
"Agranular insular area, dorsal part","Agranular insular area, dorsal part, layer 2/3"
"Agranular insular area, dorsal part","Agranular insular area, dorsal part, layer 5"
"Agranular insular area, dorsal part","Agranular insular area, dorsal part, layer 6a"
"Agranular insular area, dorsal part","Agranular insular area, dorsal part, layer 6b"
"Agranular insular area, posterior part","Agranular insular area, posterior part, layer 1"
"Agranular insular area, posterior part","Agranular insular area, posterior part, layer 2/3"
"Agranular insular area, posterior part","Agranular insular area, posterior part, layer 5"
"Agranular insular area, posterior part","Agranular insular area, posterior part, layer 6a"
"Agranular insular area, posterior part","Agranular insular area, posterior part, layer 6b"
"Agranular insular area, ventral part","Agranular insular area, ventral part, layer 1"
"Agranular insular area, ventral part","Agranular insular area, ventral part, layer 2/3"
"Agranular insular area, ventral part","Agranular insular area, ventral part, layer 5"
"Agranular insular area, ventral part","Agranular insular area, ventral part, layer 6a"
"Agranular insular area, ventral part","Agranular insular area, ventral part, layer 6b"
"Retrosplenial area, lateral agranular part","Retrosplenial area, lateral agranular part, layer 1"
"Retrosplenial area, lateral agranular part","Retrosplenial area, lateral agranular part, layer 2/3"
"Retrosplenial area, lateral agranular part","Retrosplenial area, lateral agranular part, layer 5"
"Retrosplenial area, lateral agranular part","Retrosplenial area, lateral agranular part, layer 6a"
"Retrosplenial area, lateral agranular part","Retrosplenial area, lateral agranular part, layer 6b"
"Retrosplenial area, dorsal part","Retrosplenial area, dorsal part, layer 1"
"Retrosplenial area, dorsal part","Retrosplenial area, dorsal part, layer 2/3"
"Retrosplenial area, dorsal part","Retrosplenial area, dorsal part, layer 5"
"Retrosplenial area, dorsal part","Retrosplenial area, dorsal part, layer 6a"
"Retrosplenial area, dorsal part","Retrosplenial area, dorsal part, layer 6b"
"Retrosplenial area, ventral part","Retrosplenial area, ventral part, layer 1"
"Retrosplenial area, ventral part","Retrosplenial area, ventral part, layer 2/3"
"Retrosplenial area, ventral part","Retrosplenial area, ventral part, layer 5"
"Retrosplenial area, ventral part","Retrosplenial area, ventral part, layer 6a"
"Retrosplenial area, ventral part","Retrosplenial area, ventral part, layer 6b"
Anterior area,"Anterior area, layer 1"
Anterior area,"Anterior area, layer 2/3"
Anterior area,"Anterior area, layer 4"
Anterior area,"Anterior area, layer 5"
Anterior area,"Anterior area, layer 6a"
Anterior area,"Anterior area, layer 6b"
Rostrolateral visual area,"Rostrolateral area, layer 1"
Rostrolateral visual area,"Rostrolateral area, layer 2/3"
Rostrolateral visual area,"Rostrolateral area, layer 4"
Rostrolateral visual area,"Rostrolateral area, layer 5"
Rostrolateral visual area,"Rostrolateral area, layer 6a"
Rostrolateral visual area,"Rostrolateral area, layer 6b"
"Cortical amygdalar area, posterior part","Cortical amygdalar area, posterior part, lateral zone"
"Cortical amygdalar area, posterior part","Cortical amygdalar area, posterior part, medial zone"
Ammon's horn,Field CA1
Ammon's horn,Field CA2
Ammon's horn,Field CA3
Dentate gyrus,"Dentate gyrus, molecular layer"
Dentate gyrus,"Dentate gyrus, polymorph layer"
Dentate gyrus,"Dentate gyrus, granule cell layer"
Entorhinal area,"Entorhinal area, lateral part"
Entorhinal area,"Entorhinal area, medial part, dorsal zone"
Ventral posterior complex of the thalamus,Ventral posterolateral nucleus of the thalamus
Ventral posterior complex of the thalamus,"Ventral posterolateral nucleus of the thalamus, parvicellular part"
Ventral posterior complex of the thalamus,Ventral posteromedial nucleus of the thalamus
Ventral posterior complex of the thalamus,"Ventral posteromedial nucleus of the thalamus, parvicellular part"
Medial geniculate complex,"Medial geniculate complex, dorsal part"
Medial geniculate complex,"Medial geniculate complex, ventral part"
Medial geniculate complex,"Medial geniculate complex, medial part"
Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, shell"
Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, core"
Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, ipsilateral zone"
Anteromedial nucleus,"Anteromedial nucleus, dorsal part"
Anteromedial nucleus,"Anteromedial nucleus, ventral part"
Medial mammillary nucleus,"Medial mammillary nucleus, median part"
Medial mammillary nucleus,"Medial mammillary nucleus, lateral part"
Medial mammillary nucleus,"Medial mammillary nucleus, medial part"
Medial mammillary nucleus,"Medial mammillary nucleus, posterior part"
Medial mammillary nucleus,"Medial mammillary nucleus, dorsal part"
Tuberomammillary nucleus,"Tuberomammillary nucleus, dorsal part"
Tuberomammillary nucleus,"Tuberomammillary nucleus, ventral part"
"Primary somatosensory area, nose","Primary somatosensory area, nose, layer 1"
"Primary somatosensory area, nose","Primary somatosensory area, nose, layer 2/3"
"Primary somatosensory area, nose","Primary somatosensory area, nose, layer 4"
"Primary somatosensory area, nose","Primary somatosensory area, nose, layer 5"
"Primary somatosensory area, nose","Primary somatosensory area, nose, layer 6a"
"Primary somatosensory area, nose","Primary somatosensory area, nose, layer 6b"
"Primary somatosensory area, barrel field","Primary somatosensory area, barrel field, layer 1"
"Primary somatosensory area, barrel field","Primary somatosensory area, barrel field, layer 2/3"
"Primary somatosensory area, barrel field","Primary somatosensory area, barrel field, layer 4"
"Primary somatosensory area, barrel field","Primary somatosensory area, barrel field, layer 5"
"Primary somatosensory area, barrel field","Primary somatosensory area, barrel field, layer 6a"
"Primary somatosensory area, barrel field","Primary somatosensory area, barrel field, layer 6b"
"Primary somatosensory area, lower limb","Primary somatosensory area, lower limb, layer 1"
"Primary somatosensory area, lower limb","Primary somatosensory area, lower limb, layer 2/3"
"Primary somatosensory area, lower limb","Primary somatosensory area, lower limb, layer 4"
"Primary somatosensory area, lower limb","Primary somatosensory area, lower limb, layer 5"
"Primary somatosensory area, lower limb","Primary somatosensory area, lower limb, layer 6a"
"Primary somatosensory area, lower limb","Primary somatosensory area, lower limb, layer 6b"
"Primary somatosensory area, mouth","Primary somatosensory area, mouth, layer 1"
"Primary somatosensory area, mouth","Primary somatosensory area, mouth, layer 2/3"
"Primary somatosensory area, mouth","Primary somatosensory area, mouth, layer 4"
"Primary somatosensory area, mouth","Primary somatosensory area, mouth, layer 5"
"Primary somatosensory area, mouth","Primary somatosensory area, mouth, layer 6a"
"Primary somatosensory area, mouth","Primary somatosensory area, mouth, layer 6b"
"Primary somatosensory area, upper limb","Primary somatosensory area, upper limb, layer 1"
"Primary somatosensory area, upper limb","Primary somatosensory area, upper limb, layer 2/3"
"Primary somatosensory area, upper limb","Primary somatosensory area, upper limb, layer 4"
"Primary somatosensory area, upper limb","Primary somatosensory area, upper limb, layer 5"
"Primary somatosensory area, upper limb","Primary somatosensory area, upper limb, layer 6a"
"Primary somatosensory area, upper limb","Primary somatosensory area, upper limb, layer 6b"
"Primary somatosensory area, trunk","Primary somatosensory area, trunk, layer 1"
"Primary somatosensory area, trunk","Primary somatosensory area, trunk, layer 2/3"
"Primary somatosensory area, trunk","Primary somatosensory area, trunk, layer 4"
"Primary somatosensory area, trunk","Primary somatosensory area, trunk, layer 5"
"Primary somatosensory area, trunk","Primary somatosensory area, trunk, layer 6a"
"Primary somatosensory area, trunk","Primary somatosensory area, trunk, layer 6b"
"Primary somatosensory area, unassigned","Primary somatosensory area, unassigned, layer 1"
"Primary somatosensory area, unassigned","Primary somatosensory area, unassigned, layer 2/3"
"Primary somatosensory area, unassigned","Primary somatosensory area, unassigned, layer 4"
"Primary somatosensory area, unassigned","Primary somatosensory area, unassigned, layer 5"
"Primary somatosensory area, unassigned","Primary somatosensory area, unassigned, layer 6a"
"Primary somatosensory area, unassigned","Primary somatosensory area, unassigned, layer 6b"
"Entorhinal area, lateral part","Entorhinal area, lateral part, layer 1"
"Entorhinal area, lateral part","Entorhinal area, lateral part, layer 2"
"Entorhinal area, lateral part","Entorhinal area, lateral part, layer 3"
"Entorhinal area, lateral part","Entorhinal area, lateral part, layer 5"
"Entorhinal area, lateral part","Entorhinal area, lateral part, layer 6a"
"Entorhinal area, medial part, dorsal zone","Entorhinal area, medial part, dorsal zone, layer 1"
"Entorhinal area, medial part, dorsal zone","Entorhinal area, medial part, dorsal zone, layer 2"
"Entorhinal area, medial part, dorsal zone","Entorhinal area, medial part, dorsal zone, layer 3"
"Entorhinal area, medial part, dorsal zone","Entorhinal area, medial part, dorsal zone, layer 5"
"Entorhinal area, medial part, dorsal zone","Entorhinal area, medial part, dorsal zone, layer 6"
